"Prioridade","Arquivo","Linhas","Tamanho"
"ALTA","lib\financial\domain\repositories\IFinancialRepository.js","1","0"
"MÉDIA","lib\financial\domain\value-objects\Money.js","77","2,3"
"MÉDIA","lib\financial\domain\value-objects\PaymentMethod.js","115","4,5"
"MÉDIA","lib\financial\domain\value-objects\TaxRate.js","158","5"
"MÉDIA","lib\financial\infrastructure\gateways\PagarmeGateway.js","403","15,1"
"MÉDIA","lib\financial\infrastructure\gateways\StripeGateway.js","313","12"
"ALTA","lib\financial\infrastructure\repositories\SupabaseFinancialRepository.js","834","30,6"
"ALTA","lib\hooks\use-patient-form.js","52","2,1"
"MÉDIA","lib\integrations\calendar\CalendarFactory.js","119","4,5"
"MÉDIA","lib\integrations\calendar\CalendarMonitor.js","314","11,8"
"MÉDIA","lib\integrations\calendar\CalendarQueue.js","357","13,8"
"MÉDIA","lib\integrations\calendar\CalendarService.js","86","3"
"MÉDIA","lib\integrations\calendar\GoogleCalendarService.js","304","10,5"
"MÉDIA","lib\integrations\calendar\ICSService.js","212","7,8"
"MÉDIA","lib\integrations\calendar\index.js","190","6,9"
"MÉDIA","lib\integrations\email\ResendService.js","205","7,2"
"MÉDIA","lib\medical-records\clinical\assessment\ClinicalReportGenerator.js","445","19,3"
"MÉDIA","lib\medical-records\clinical\assessment\ClinicalTemplateEngine.js","384","13,9"
"MÉDIA","lib\medical-records\clinical\assessment\InitialAssessment.js","402","16,7"
"MÉDIA","lib\medical-records\clinical\documentation\ClinicalDocument.js","243","8,7"
"MÉDIA","lib\medical-records\clinical\documentation\DigitalSignature.js","336","11,3"
"MÉDIA","lib\medical-records\clinical\evolution\SessionEvolution.js","510","21,9"
"MÉDIA","lib\medical-records\compliance\CFMComplianceValidator.js","290","13,1"
"MÉDIA","lib\medical-records\compliance\COFFITOValidator.js","415","20,4"
"MÉDIA","lib\medical-records\compliance\LGPDCompliance.js","527","22,7"
"MÉDIA","lib\medical-records\fhir\resources\DiagnosticReport.js","1","0"
"MÉDIA","lib\medical-records\fhir\resources\Encounter.js","605","19,1"
"MÉDIA","lib\medical-records\fhir\resources\Observation.js","1","0"
"MÉDIA","lib\medical-records\fhir\resources\Patient.js","486","15,8"
"MÉDIA","lib\medical-records\fhir\transformers\FHIRTransformer.js","229","9,7"
"MÉDIA","lib\medical-records\fhir\validators\FHIRValidator.js","694","25,2"
"ALTA","lib\medical-records\services\PerformanceOptimizationService.js","262","7,6"
"ALTA","lib\medical-records\services\SupabaseMedicalRecordsService.js","388","15,3"
"MÉDIA","lib\medical-records\config.js","132","4,3"
"MÉDIA","lib\patient-portal\PatientPortalService.js","509","20,2"
"MÉDIA","lib\validations\patient.js","62","2,2"
"MÉDIA","lib\accessibility.js","242","8,7"
"MÉDIA","lib\advancedLazyLoading.js","240","12"
"MÉDIA","lib\api.js","84","3,5"
"MÉDIA","lib\cacheManager.js","207","6,1"
"MÉDIA","lib\clinical-content-loader.js","21","0,7"
"MÉDIA","lib\debugHelpers.js","174","5,5"
"MÉDIA","lib\memoization.js","145","5"
"MÉDIA","lib\modal-factory.js","204","6,7"
"MÉDIA","lib\navigationHelpers.js","143","4,1"
"MÉDIA","lib\observabilityLogger.js","52","2"
"MÉDIA","lib\performance.js","185","4,6"
"MÉDIA","lib\performanceMonitor.js","345","10,7"
"MÉDIA","lib\performanceOptimizations.js","328","11"
"MÉDIA","lib\queryClient.js","31","1,1"
"MÉDIA","lib\rateLimiter.js","156","4,6"
"MÉDIA","lib\redis.js","17","0,6"
"MÉDIA","lib\safety.js","326","8"
"MÉDIA","lib\security.js","148","4,4"
"MÉDIA","lib\sentry.js","11","0,4"
"MÉDIA","lib\serviceWorkerManager.js","193","5,7"
"MÉDIA","lib\serviceWorkerRegistration.js","341","10,3"
"MÉDIA","lib\supabaseConfig.js","247","8,6"
"MÉDIA","lib\utils.js","5","0,1"
"MÉDIA","packages\agenda-pacientes\src\components\communication\index.js","24","1,2"
"MÉDIA","packages\agenda-pacientes\src\components\medical-records\index.js","13","0,7"
"MÉDIA","packages\agenda-pacientes\src\components\patient\bodyPaths.js","26","1,1"
"BAIXA","packages\patient-portal\postcss.config.js","6","0,1"
"ALTA","pages\api\webhooks\whatsapp.js","141","4,9"
"BAIXA","public\disable-sw.js","29","0,9"
"BAIXA","public\firebase-messaging-sw.js","78","2,8"
"BAIXA","public\service-worker-advanced.js","322","9,4"
"BAIXA","public\service-worker.js","393","12,4"
"BAIXA","public\sw.js","308","8"
"BAIXA","public\unregister-sw.js","21","0,6"
"BAIXA","schemas\exerciseValidation.js","444","18,7"
"BAIXA","scripts\alert-vulnerabilities.js","145","4,9"
"BAIXA","scripts\apply-migration.js","87","3,7"
"BAIXA","scripts\apply-migrations.js","222","7,6"
"BAIXA","scripts\check-dependencies.js","154","4,5"
"BAIXA","scripts\check-deployment.js","131","3,9"
"BAIXA","scripts\check-dns-config.js","88","3,1"
"BAIXA","scripts\check-env.js","178","6,8"
"BAIXA","scripts\check-imports.js","116","4,5"
"BAIXA","scripts\check-users.js","67","3,1"
"BAIXA","scripts\configure-vercel-integrations.js","46","2"
"BAIXA","scripts\create-admin-user.js","135","4,8"
"BAIXA","scripts\create-exercise-images.js","128","10"
"BAIXA","scripts\create-test-user.js","146","5,7"
"BAIXA","scripts\create-test-users.js","219","7,1"
"BAIXA","scripts\daily-summary.js","128","3,8"
"BAIXA","scripts\fix-admin-user.js","134","4,7"
"BAIXA","scripts\fix-all-exercise-images.js","40","1,6"
"BAIXA","scripts\generate-assessments-materials.js","586","24,6"
"BAIXA","scripts\generate-clinical-content.js","1004","44"
"BAIXA","scripts\generate-cron-secret.js","71","2,2"
"BAIXA","scripts\generate-exercise-images.js","135","5,6"
"BAIXA","scripts\generate-exercises.js","627","28,4"
"BAIXA","scripts\integrate-clinical-content-to-db.js","94","4"
"BAIXA","scripts\lighthouse-performance.js","53","2,4"
"BAIXA","scripts\maintenance.js","153","5,1"
"BAIXA","scripts\migrate-forwardref.js","106","3,8"
"BAIXA","scripts\monitor-health.js","266","8,3"
"BAIXA","scripts\populate-clinical-content.js","245","11,8"
"BAIXA","scripts\pre-commit-env-check.js","159","4,6"
"BAIXA","scripts\run-clinical-content-generator.js","36","1,9"
"BAIXA","scripts\run-comprehensive-test.js","81","2,8"
"BAIXA","scripts\security-audit.js","292","10"
"BAIXA","scripts\setup-activity-integration.js","120","4,6"
"BAIXA","scripts\setup-auth.js","177","5,3"
"BAIXA","scripts\setup-env.js","206","8,7"
"BAIXA","scripts\setup-production.js","36","1,4"
"BAIXA","scripts\setup-vercel-integrations.js","279","10,9"
"BAIXA","scripts\sync-auth-users.js","92","3,6"
"BAIXA","scripts\test-all-flows-admin.js","362","14,3"
"BAIXA","scripts\test-apple-apns.js","289","10,3"
"BAIXA","scripts\test-appointment-request-flow.js","241","10,6"
"BAIXA","scripts\test-aws-rekognition.js","173","6,3"
"BAIXA","scripts\test-biblioteca-materiais.js","53","2,2"
"BAIXA","scripts\test-calendar.js","136","3,9"
"BAIXA","scripts\test-communication-system.js","162","5,9"
